post_id,label,target,text,prefix,suffix
11355837_gab,hatespeech,African,higher than a nigger tho,higher than,a nigger tho
17345919_gab,hatespeech,Arab,i will burn in hell but at least i know what i have done wrong these muzzies are retarded,i will burn in hell but at least i,know what i have done wrong these muzzies are retarded
24198815_gab,hatespeech,Hispanic,i will disparage nehlen for marrying a beaner all i please tyvm,i will disparage nehlen for marrying,a beaner all i please tyvm
4577727_gab,hatespeech,African,<user> just saw a sad older couple with <number> mulatto grandkids at the store you know they are taking care of their degenerate mudshark daughter spawn sad,<user> just saw a sad older couple with <number> mulatto grandkids at the,store you know they are taking care of their degenerate mudshark daughter spawn sad
13286906_gab,hatespeech,Jewish,did not this sick kike adopt a young asian girl for the sole purpose of fucking her i have heard something like that years ago remember that it got hushed up by the media real quick like 🤔,did not this sick kike adopt a young asian girl for the sole purpose of fucking her i have,heard something like that years ago remember that it got hushed up by the media real quick like 🤔
14102861_gab,hatespeech,Jewish,you are replying to torbas post in defence of a kike that calls people goys you seem to of forgot jews killed jesus the first problem is people like you jews are next you will be gassed first,you are replying to torbas post in defence of a kike that calls people goys you seem to of,forgot jews killed jesus the first problem is people like you jews are next you will be gassed first
16757317_gab,hatespeech,African,we can sieg heil whoever we want into office and it sure as fuck will not be a nigger lover ever again,we can sieg heil whoever we want into office and it,sure as fuck will not be a nigger lover ever again
11580960_gab,hatespeech,African,what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy,what a fucking nigger fag pantload i wonder who,actually wrote that for this affirmative action push along toy
1179048516058075136_twitter,hatespeech,African,everytime i see diggs trending i get scared but it stefan diggs mane duck that nigger,everytime i see diggs trending i get scared,but it stefan diggs mane duck that nigger
1179024390735962112_twitter,hatespeech,African,coming with the it named after the river niger and how d that river get that name 🧐 riddle me that nigger,coming with the it named after the river niger and how,d that river get that name 🧐 riddle me that nigger
1179009569802117120_twitter,hatespeech,African,no no do not let that nigger waste your time go fuck on his homeboy,no no do not let that nigger,waste your time go fuck on his homeboy
13159904_gab,hatespeech,African,witness the low iq mind of a nigger hopefully you are a nigger anyway,witness the low iq mind of a,nigger hopefully you are a nigger anyway
14261862_gab,hatespeech,Hispanic,like i care <tong> is bitching to a stupid beaner like me going to fix that nope good luck,like i care <tong> is bitching to a stupid,beaner like me going to fix that nope good luck
18593688_gab,hatespeech,Jewish,some other kike company will buy them out so yeah,some other kike company will,buy them out so yeah
21261762_gab,hatespeech,African,west va lawmaker using n word listening to little wayne big deal just another lady tired of great nigger giveaway watch on tv first <number> hours cops any popular reality crime show quick education for niggra loving left thugs rape murder robbery get a job nigger disscusting trash,west va lawmaker using n word listening to little wayne big deal just another lady tired of great nigger giveaway watch on tv first,<number> hours cops any popular reality crime show quick education for niggra loving left thugs rape murder robbery get a job nigger disscusting trash
15065738_gab,hatespeech,African,good idea you do not want to mix with those fat nigger bitches,good idea you do not want,to mix with those fat nigger bitches
12556329_gab,hatespeech,African,brother azz doing god work and preachin the gospel raise hell and kill nigger babies st robert ray and all god children said amen,brother azz doing god work and preachin the gospel raise hell and,kill nigger babies st robert ray and all god children said amen
11849813_gab,hatespeech,Hispanic,johnson view by contrast was reasonable and genuine even if i disagree with him vox is pulling some dorklord machiavellian master plan bullshit for whatever reason it obvious moronic and tiresome fuck off with your triracial alt west milo apologetics gamergate bullshit you fucking spic,johnson view by contrast was reasonable and genuine even if i disagree with him vox is pulling some dorklord machiavellian master plan,bullshit for whatever reason it obvious moronic and tiresome fuck off with your triracial alt west milo apologetics gamergate bullshit you fucking spic
7980224_gab,hatespeech,African,fuck you you bitch ass nigger cunt i hate black niggers,fuck you you bitch ass,nigger cunt i hate black niggers
24265566_gab,hatespeech,African,coon cheese holy gawds the progressives here would melt in the grocery aisle,coon cheese holy gawds the progressives,here would melt in the grocery aisle
15153292_gab,hatespeech,Hispanic,dumb spic bitch,dumb,spic bitch
12451124_gab,hatespeech,Jewish,well that really complicated i guess when we have a stable domain i do not know when that will be iceland is trying to kike us right now,well that really complicated i guess when we have a stable domain i do,not know when that will be iceland is trying to kike us right now
7615090_gab,hatespeech,African,if there were live topics on voat gab fam it would look like politics obama the nigger is at it again news chicago shot clock introduce yourself i am the <number> 7 0 0 th amalek alt comics loli tips for new voaters kys life hacks how to shill with puttitout music monday more v cheers trash,if there were live topics on voat gab fam it would look like politics obama the nigger is at it again news chicago shot clock introduce yourself i,am the <number> 7 0 0 th amalek alt comics loli tips for new voaters kys life hacks how to shill with puttitout music monday more v cheers trash
22787853_gab,hatespeech,African,i just wish i could shoot as accurately as those hero cops thanks to them that one less sub human nigger draining my fucking paycheck,i just wish i could shoot as accurately as those hero cops,thanks to them that one less sub human nigger draining my fucking paycheck
1178547315872804864_twitter,hatespeech,African,on god ion like white women niggers move,on god ion like,white women niggers move
1179073674332266496_twitter,hatespeech,African,fuck what you niggers are talking about,fuck what you,niggers are talking about
1178894919731204096_twitter,hatespeech,African,if i see one more of you niggers say it cocktober,if i see one more,of you niggers say it cocktober
20824229_gab,hatespeech,African,where terry a davis when we need him to expose this whiny rat as a vicious cia nigger attemting to bring communism in america,where terry a davis when we need him to expose this whiny,rat as a vicious cia nigger attemting to bring communism in america
22648946_gab,hatespeech,Hispanic,<number> fucks i do not give muff munching wetback commie bitch,<number> fucks i do not,give muff munching wetback commie bitch
13298344_gab,hatespeech,Asian,he will end up getting cuckolded by a horse and his chink waifu,he will end up getting cuckolded,by a horse and his chink waifu
15236372_gab,hatespeech,Islam,you can sleep safe at night knowing these wonderful ladies at nato are defending you from moslem terrorist,you can sleep safe at night knowing these wonderful,ladies at nato are defending you from moslem terrorist
1178355316729303042_twitter,hatespeech,Caucasian,my dads bitch thinks she scares us because she white trailer trash ha she forgets we grew up in the south side of laredo 😂,my dads bitch thinks she scares us because she white trailer trash,ha she forgets we grew up in the south side of laredo 😂
27470117_gab,hatespeech,Jewish,road worn kikess on wrong side of <number> needs validation badly posts shitposter dms in transparent humblebrag remains divorced with no meaningful prospects will likely die surrounded by cats many such cases,road worn kikess on wrong side of <number> needs validation badly posts shitposter dms in transparent,humblebrag remains divorced with no meaningful prospects will likely die surrounded by cats many such cases
25560967_gab,hatespeech,Islam,they never say that a muzzie was involved but everybody knows better,they never say that a muzzie,was involved but everybody knows better
15729057_gab,hatespeech,African,imagine all the free shit white ppl would get if they had nigger in them,imagine all the free shit white ppl,would get if they had nigger in them
11273952_gab,hatespeech,Jewish,1 9 3 0 sgermany geneticjews controlled white germany via violating antitrustlaw 2 1 st century whit eusa controlled by genetic kikes enablers buffett whos white gives billions to filthy kike gates not for profit ;& traito rcongress enem ysupremecourt who refuse to enforce antitrust law,1 9 3 0 sgermany geneticjews controlled white germany via violating antitrustlaw 2 1 st century whit eusa controlled by genetic kikes enablers,buffett whos white gives billions to filthy kike gates not for profit ;& traito rcongress enem ysupremecourt who refuse to enforce antitrust law
27162115_gab,hatespeech,Jewish,anthony bourdain was a kike that advocated for white genocide good riddance,anthony bourdain was a kike that,advocated for white genocide good riddance
19865503_gab,hatespeech,African,lol that for sure deborah only <number> nigger days left,lol that for sure deborah,only <number> nigger days left
24301100_gab,hatespeech,Homosexual,ha you cucks can not even defend yourselves while your shitskin mayor in london calls for the prosecution of anyone who chooses to do so funny how you circle jerk rare school shootings while riding the dicks of conspiratards truly astonishing how lost you borthers are low energy faggot,ha you cucks can not even defend yourselves while your shitskin mayor in london calls for the prosecution of anyone who chooses to do,so funny how you circle jerk rare school shootings while riding the dicks of conspiratards truly astonishing how lost you borthers are low energy faggot
9788820_gab,hatespeech,African,i hope these nigger poachers get tortured to death slowly,i hope these nigger poachers,get tortured to death slowly
19134180_gab,hatespeech,African,or perhaps you just wait until the nigglet is older to be a real thug make a crime and go to jail and there he meets dad in the neighbour cell,or perhaps you just wait until the nigglet is older to be a real thug,make a crime and go to jail and there he meets dad in the neighbour cell
14570598_gab,hatespeech,African,i have read about this it typical nigger behavior of asserting superiority by making people move aside especially since they always circulate in gangs from what i have seen but yes somalis are like the rock botton of nigger sewer with average iq <number>,i have read about this it typical nigger behavior of asserting superiority by making people move aside especially since they always circulate,in gangs from what i have seen but yes somalis are like the rock botton of nigger sewer with average iq <number>
25935069_gab,hatespeech,Jewish,the worship the kike on a stick shit i can put up with but fuck this,the worship the kike on a stick shit,i can put up with but fuck this
23500303_gab,hatespeech,Jewish,more kike propaganda,more,kike propaganda
16475631_gab,hatespeech,Jewish,so you are not a kike just a cucked kike ball washer then my nightmare you give yourself too much credit the only one who consistently shitter shattered about my posts is you i have gained steady followers from my posts itt i will keep posting especially so your old pissflaps stay irritated,so you are not a kike just a cucked kike ball washer then my nightmare you give yourself too much credit the only one who consistently,shitter shattered about my posts is you i have gained steady followers from my posts itt i will keep posting especially so your old pissflaps stay irritated
20164205_gab,hatespeech,African,true if u go thru a drive thru an there a nigger there u gon get aids,true if u go thru a drive thru,an there a nigger there u gon get aids
21393137_gab,hatespeech,Jewish,so that way if some cowardly kike wants to push her narrative it can still be seen and challenged by the public,so that way if some cowardly kike wants to push her,narrative it can still be seen and challenged by the public
1178759428733952001_twitter,hatespeech,Caucasian,i just read an instagram caption that said nothing like a monday morning send with the squad i fucking hate white people,i just read an instagram caption that said nothing like a,monday morning send with the squad i fucking hate white people
20317918_gab,hatespeech,African,that nigress must be a soy farmer,that nigress must,be a soy farmer
1178631491783397376_twitter,hatespeech,Disability,too many of you woman turn into retarded ass unstable creatures when you ain t got a nigga,too many of you woman turn into retarded ass,unstable creatures when you ain t got a nigga
23332570_gab,hatespeech,Jewish,imagine being a lying kike shill like <user>,imagine being a lying,kike shill like <user>
1178732930614595584_twitter,hatespeech,African,lmfao the passenger in they car is trying to file another claim in they neck and back 😭 😭 😭 😭 u niggers are so predictable make me sick,lmfao the passenger in they car is trying to file another claim in they,neck and back 😭 😭 😭 😭 u niggers are so predictable make me sick
18351010_gab,hatespeech,Jewish,crawled out bitch i have been here since the doors opened why do not you take your kike ass back to twitter where you belong,crawled out bitch i have been here since the doors opened why,do not you take your kike ass back to twitter where you belong
19502440_gab,hatespeech,Jewish,oh just a jew nigger with a phone that does not know walking while filming is retarded try holding still jew nigger,oh just a jew nigger with a phone that does not,know walking while filming is retarded try holding still jew nigger
20053313_gab,hatespeech,Jewish,<user> i heard the school shooter in fl wuz a coffee beaner and a baby dick suckin jew,<user> i heard the school shooter in fl wuz,a coffee beaner and a baby dick suckin jew
27879993_gab,hatespeech,Jewish,womp womp kike,womp,womp kike
21868115_gab,hatespeech,African,but one of them is a nigger,but one of,them is a nigger
10611120_gab,hatespeech,African,op is a stupid nigger incapable of learning to archive,op is a stupid nigger,incapable of learning to archive
24290896_gab,hatespeech,African,a nigger being randomly violent that totally without precedent,a nigger being randomly,violent that totally without precedent
18868137_gab,hatespeech,African,i rather eat mah own shit then go out wit a nigger bich who look like king kong,i rather eat mah own shit then go out,wit a nigger bich who look like king kong
9740572_gab,hatespeech,Islam,islam isis finally admits its leader abu bakr al baghdadi is dead think this is about 1 0 0 th time this islam terrorist leader has been confirmed dead rem mussie ohell creator of isis let him out of gitmo to become isis leader used asswipe yes both of them <user> <user>,islam isis finally admits its leader abu bakr al baghdadi is dead think this is about 1 0 0 th time this islam terrorist leader has,been confirmed dead rem mussie ohell creator of isis let him out of gitmo to become isis leader used asswipe yes both of them <user> <user>
15297898_gab,hatespeech,Islam,i bet non moslem kids are not allowed in it even possible that kids are also raped inside that,i bet non moslem kids are not allowed in,it even possible that kids are also raped inside that
15882285_gab,hatespeech,Women,american mudshark lindsey vonn is the latest female celebrity to open her mouth and spew bullcrap and now she hurt her back at a ski event 😂 😂 😂 typical thot hates trump yet slept with serial adulterer and frequent user of prostitutes tiger woods 🙈 🙈 gab fam speak freely,american mudshark lindsey vonn is the latest female celebrity to open her mouth and spew bullcrap and now she hurt her back at a ski,event 😂 😂 😂 typical thot hates trump yet slept with serial adulterer and frequent user of prostitutes tiger woods 🙈 🙈 gab fam speak freely
25798952_gab,hatespeech,Islam,city full of moslem jihadists are furious after being called a city full of moslem jihadists,city full of moslem jihadists are furious after,being called a city full of moslem jihadists
16222828_gab,hatespeech,Women,demented thot witch mistakes shit flinging negresses for almighty god crawls back into slime hole,demented thot witch mistakes shit flinging negresses,for almighty god crawls back into slime hole
1092230580312395777_twitter,hatespeech,African,oh this is getting niggerish,oh this,is getting niggerish
1178838188179243008_twitter,hatespeech,Asian,<user> <user> wtf is this ching chong shittery english mf,<user> <user> wtf is this,ching chong shittery english mf
1178801987653160960_twitter,hatespeech,None,<user> <user> <user> <user> anti muslims feel so happy that muslim ummah is weak and sleeping and is worrying for economy crisis no doubts india is a big consumer market for greedy western muslim countries so they are ignoring oppression with minorities by modi hitler in kashmir under threat india,<user> <user> <user> <user> anti muslims feel so happy that muslim ummah is weak and sleeping and is worrying for economy crisis no doubts india,is a big consumer market for greedy western muslim countries so they are ignoring oppression with minorities by modi hitler in kashmir under threat india
27946665_gab,hatespeech,Jewish,what happened to its all so tiresome did you filthy kikes ban him too thankyou for giving me all the evidence i need to now publish the documentary about gab to kike infested fraud it is,what happened to its all so tiresome did you filthy kikes ban him too thankyou for giving me,all the evidence i need to now publish the documentary about gab to kike infested fraud it is
13737883_gab,hatespeech,Arab,most paki men in britain if their not into bestiality end up married having kids with a relative usually one of their sisters or cousins they dont work they claim benefits their retarded deformed children cost the nhs a fortune then add on the money they cost us with anti terrorist policing etc,most paki men in britain if their not into bestiality end up married having kids with a relative usually one of their sisters or cousins they,dont work they claim benefits their retarded deformed children cost the nhs a fortune then add on the money they cost us with anti terrorist policing etc
3725815_gab,hatespeech,Hispanic,esteban santiago is a beaner muslim build the wall ban muslim immigration trump was right again hail trump,esteban santiago is a beaner muslim build the wall,ban muslim immigration trump was right again hail trump
3742628_gab,hatespeech,African,we need to get real comfortable telling blks they need to leave they farmed they did not contribute to building this country whites did it we need to start saying we do not need diversity in white anything unless they want to make naacp and all the other nigger groups diverse <user>,we need to get real comfortable telling blks they need to leave they farmed they did not contribute to building this country whites did it we,need to start saying we do not need diversity in white anything unless they want to make naacp and all the other nigger groups diverse <user>
22950120_gab,hatespeech,African,another leftist sheboon,another,leftist sheboon
4153260_gab,hatespeech,African,i guess i will be like everyone else that gets suspended from twitter and make a new account used my phone number on <number> suspended accounts already so blow me jack you cunt nigger faggot,i guess i will be like everyone else that gets suspended from twitter and make a new,account used my phone number on <number> suspended accounts already so blow me jack you cunt nigger faggot
12568127_gab,hatespeech,African,the nigger that shot up the church was an immigrant from from sudan,the nigger that shot up the,church was an immigrant from from sudan
27519064_gab,hatespeech,Hispanic,he a wetback so he both,he a wetback,so he both
18978647_gab,hatespeech,African,if joe kennedy had a serious political future it was killed by him having nigger cum right by his mouth,if joe kennedy had a serious political future it was,killed by him having nigger cum right by his mouth
21545187_gab,hatespeech,African,usa kids are taught only <number> things in history holohoax civil war slavery religion of the nigger mlk sainthood have zero knowledge jew expulsion england 1 2 0 0 of jew expulsion from spain jew infiltration spanish netherlands english civil war cromwell aftermath jew infiltration england creation bank of england etc etc etc,usa kids are taught only <number> things in history holohoax civil war slavery religion of the nigger mlk sainthood have zero knowledge jew expulsion england 1,2 0 0 of jew expulsion from spain jew infiltration spanish netherlands english civil war cromwell aftermath jew infiltration england creation bank of england etc etc etc
15152821_gab,hatespeech,Other,issue is not just islam non white immigration is an issue as whole non moslem black brown is as vile and violent rapist thieff thug as moslem ones are only difference is they do not engage in terror attacks yet issue is racial non whites have no place in white lands period,issue is not just islam non white immigration is an issue as whole non moslem black brown is as vile and violent rapist thieff thug as,moslem ones are only difference is they do not engage in terror attacks yet issue is racial non whites have no place in white lands period
27789501_gab,hatespeech,Jewish,just another yid waste of oxygen,just another yid,waste of oxygen
13240915_gab,hatespeech,Jewish,alright kike lover enjoy ranting about the evil chinese rice farmers you deranged simpleton,alright kike lover enjoy ranting about the,evil chinese rice farmers you deranged simpleton
16127560_gab,hatespeech,African,what a fucking nigger lol,what a,fucking nigger lol
12326526_gab,hatespeech,Islam,gross muslimes are against same sex attraction disorder sad yes against fruit cakes but man goats are ok sick bunch sharia my arse,gross muslimes are against same sex attraction disorder sad yes against,fruit cakes but man goats are ok sick bunch sharia my arse
21764118_gab,hatespeech,Islam,when shariza appeasing may is sucking moslem cock does her husband brit fam,when shariza appeasing may is sucking,moslem cock does her husband brit fam
24460896_gab,hatespeech,Jewish,jon summers is a communist kike who hates white people,jon summers is a communist,kike who hates white people
1277253_gab,hatespeech,Islam,<user> i know you muzzies are peaceful cause that what you keep telling us are not you late for blowing up a building or something,<user> i know you muzzies are peaceful cause that what you keep,telling us are not you late for blowing up a building or something
21024558_gab,hatespeech,African,of course also noticing it mainly leftist whamen crying the loudest <number> shades of nigger migrant rape fantasies,of course also noticing it mainly leftist whamen crying,the loudest <number> shades of nigger migrant rape fantasies
1178552985502326784_twitter,hatespeech,African,jesus christ i literally hacked this shit account and twitter does nothing fucking dumb nigger shit,jesus christ i literally hacked this shit account,and twitter does nothing fucking dumb nigger shit
22969485_gab,hatespeech,Hispanic,we could meet at the border and if the wetbacks are not turned back ram into them with trucks kill more beaners faster that way,we could meet at the border and if the wetbacks are not,turned back ram into them with trucks kill more beaners faster that way
2449943_gab,hatespeech,Other,<user> in every country where muzzies are in minority the want minority rights in every country where muzzie are majority there are no minority rights,<user> in every country where muzzies are in minority the want minority,rights in every country where muzzie are majority there are no minority rights
6098659_gab,hatespeech,Refugee,the mudslime needs to be deported back in a coffin,the mudslime needs to be,deported back in a coffin
8416696_gab,hatespeech,African,paula deen said nigger <number> years ago and is still catching heat for that honestly what bill said is not offensive to me heard the word my whole life but the double standard is ridiculous,paula deen said nigger <number> years ago and is still catching heat for that honestly what bill,said is not offensive to me heard the word my whole life but the double standard is ridiculous
18229799_gab,hatespeech,Jewish,psychopathic inbred kike djuggie schooma manages to eat his own anus,psychopathic inbred kike djuggie schooma,manages to eat his own anus
15788483_gab,hatespeech,African,now that nigger mooch can not spend taxpayer $$ to fly her fat ass around the world along with her mother nigger mooch senior she does not seem to go anywhere imagine that,now that nigger mooch can not spend taxpayer $$ to fly her fat ass around the,world along with her mother nigger mooch senior she does not seem to go anywhere imagine that
27346316_gab,hatespeech,African,hey nigger lover we don t care what you have to say here go back to your nigger friends,hey nigger lover we don t care what you,have to say here go back to your nigger friends
4480271_gab,hatespeech,African,retarded nigger bessie coleman on google homepage literally fell out of her plane to her death because she wasnt wearing a seatbelt while flying the more you know maga gab fam,retarded nigger bessie coleman on google homepage literally fell out of her plane to her,death because she wasnt wearing a seatbelt while flying the more you know maga gab fam
13656466_gab,hatespeech,African,i still am not a nigger lover tho,i still am not,a nigger lover tho
19687649_gab,hatespeech,Asian,friendly reminder that you are going to be debating an actual <percent> er lowtax ask him if his mail order gook wife will be listening,friendly reminder that you are going to be debating an actual <percent>,er lowtax ask him if his mail order gook wife will be listening
22047299_gab,hatespeech,African,look on youtube the nigger chicago gangs with weapons <number> round mags saying fuck trump lmfao you dumb ass punks show there faces lmfao 😂 😃 😄 😄 😄 😅 😅,look on youtube the nigger chicago gangs with weapons <number> round mags saying fuck trump,lmfao you dumb ass punks show there faces lmfao 😂 😃 😄 😄 😄 😅 😅
2911030_gab,hatespeech,Islam,<user> what you need to understand is that when muzzies attack it will not be fighting in the street all that noise it will be a sharp rise in murder rates across the country our own leos will keep us from retaliating,<user> what you need to understand is that when muzzies attack it will not be fighting in the street all that,noise it will be a sharp rise in murder rates across the country our own leos will keep us from retaliating
20213902_gab,hatespeech,Jewish,how would issues even be brought up to vote for in that system some kike will push drug legalization or gay marriage or something,how would issues even be brought up to vote for in that,system some kike will push drug legalization or gay marriage or something
20448158_gab,hatespeech,Jewish,said in maximum kike voice,said in,maximum kike voice
15467195_gab,hatespeech,Islam,hypocrite probably hates the muzzie his dear leader allied with too,hypocrite probably hates the muzzie,his dear leader allied with too
12845065_gab,hatespeech,African,i could not care less about any other ideology than a pure white state the form of gov we have to me is almost irrelevant you only care about muh nigger equals such a punk faggot take your cucks and gtfo,i could not care less about any other ideology than a pure white state the form of gov we have,to me is almost irrelevant you only care about muh nigger equals such a punk faggot take your cucks and gtfo
22878389_gab,hatespeech,Islam,is there not <number> brit with the brains balls to assassinate this filthy shit skin moslem terrorist,is there not <number> brit with the brains,balls to assassinate this filthy shit skin moslem terrorist
1178502719868325888_twitter,hatespeech,Asian,<user> get well soon ching chong 😌,<user> get well,soon ching chong 😌
19945326_gab,hatespeech,Arab,lolz walking past a muzzie on the phone today heard him say execution <time> made me wonder does he mean prince charles,lolz walking past a muzzie on the phone today heard him,say execution <time> made me wonder does he mean prince charles
8297655_gab,hatespeech,Jewish,to each their own i prefer not to get into pissing matches with wn on either side of the kike on a stick issue i d rather find common cause with both factions i am sure a christian would provide you better discussion on the matter,to each their own i prefer not to get into pissing matches with wn on either side of the kike on a stick,issue i d rather find common cause with both factions i am sure a christian would provide you better discussion on the matter
26943747_gab,hatespeech,Homosexual,no he has two his dyke wife lost and pissed off the new leftist leader barack hussein obama,no he has two his dyke wife lost and,pissed off the new leftist leader barack hussein obama
19109669_gab,hatespeech,Homosexual,at least she tacitly admitting that queers are less than men lol,at least she tacitly admitting that,queers are less than men lol
16779605_gab,hatespeech,African,yeah but he held off calling him a nigger,yeah but he held,off calling him a nigger
13110414_gab,hatespeech,African,the boomer toughguy became my object of general loathing after observing one on a train casually interacting with a sulking sheboon and going out of his way to call her ma am one obsequious instance after another,the boomer toughguy became my object of general loathing after observing one on a train casually interacting with,a sulking sheboon and going out of his way to call her ma am one obsequious instance after another
1179012360482123777_twitter,hatespeech,Islam,<user> <user> hey jihadi first stop introducing urself as an indian in foreign countries cuz i heard most overseas pakistanis are ashamed of revealing their real identity,<user> <user> hey jihadi first stop introducing urself as an indian in foreign,countries cuz i heard most overseas pakistanis are ashamed of revealing their real identity
17578395_gab,hatespeech,Jewish,oprah is a stupid nigger that only got into the entertainment business because she fucked a kike with jungle fever,oprah is a stupid nigger that only got into the,entertainment business because she fucked a kike with jungle fever
10427435_gab,hatespeech,None,currynigger and known race traitor <user> has now hit the force unfollow button on me <number> times in the last <number> hours this little freeway shitstain can not pull off even pretending to be pro speech it just wants to cut things into swiss cheese safespace hugboxes for it weakminded little self gab fam,currynigger and known race traitor <user> has now hit the force unfollow button on me <number> times in the last <number> hours this little freeway shitstain can,not pull off even pretending to be pro speech it just wants to cut things into swiss cheese safespace hugboxes for it weakminded little self gab fam
2694325_gab,hatespeech,Jewish,<user> lol what a stupid gook,<user> lol what,a stupid gook
19734849_gab,hatespeech,African,susan rice is a lying nigger piece of shit who should be rotting in prison,susan rice is a lying nigger piece,of shit who should be rotting in prison
20915407_gab,hatespeech,African,another fucking dumb nigger with an i.q. of <number>,another fucking dumb nigger,with an i.q. of <number>
23930277_gab,hatespeech,Islam,<number> muslim paki filth <number> van job done,<number> muslim paki filth,<number> van job done
12661138_gab,hatespeech,African,for what what the hell has that nigger ever done that was great,for what what the hell has,that nigger ever done that was great
18452041_gab,hatespeech,Jewish,hey how about you go be a kike somewhere else schlomo sound good,hey how about you go be,a kike somewhere else schlomo sound good
24700123_gab,hatespeech,African,good thing she can not you are still a cuck and she still a coal burner aka nigger lover,good thing she can not you are still a,cuck and she still a coal burner aka nigger lover
16439435_gab,hatespeech,African,this bullshit narrative about whites supposedly always wanting to touch nigger hair is pure unadulterated kike spawned muh magical negroes horse shit nobody wants to touch nigger hair not even other niggers,this bullshit narrative about whites supposedly always wanting to touch nigger hair is pure unadulterated kike,spawned muh magical negroes horse shit nobody wants to touch nigger hair not even other niggers
6119701_gab,hatespeech,African,im a pagan so fuck the bible the founding fathers would be pissed to see a nigger in office and melting pot of european culture not 3 rd world parasites any other,im a pagan so fuck the bible the founding fathers would be pissed to see a,nigger in office and melting pot of european culture not 3 rd world parasites any other
25532099_gab,hatespeech,Jewish,so the non european kike won eurovision oh vey look at the fucking state of it,so the non european kike won eurovision oh,vey look at the fucking state of it
19348796_gab,hatespeech,Jewish,i have been swinging hammers for <number> years i ain t never seen a kike in my industry unless he was shlmeeling a product or taking graff from a trade union and you can take that to the bank,i have been swinging hammers for <number> years i ain t never seen a kike in my industry unless,he was shlmeeling a product or taking graff from a trade union and you can take that to the bank
1178634815551234048_twitter,hatespeech,Islam,<user> let us not forget that pakistan is a islamist sharia country that supports terrorist groups around the world so they do in india in fact if muslim invaders would not have raped india that shitty nuke state would not even exist,<user> let us not forget that pakistan is a islamist sharia country that supports terrorist groups around the world so they,do in india in fact if muslim invaders would not have raped india that shitty nuke state would not even exist
16487835_gab,hatespeech,Homosexual,amber scott is a dyke ass motherfucker who can not write for shit,amber scott is a dyke ass,motherfucker who can not write for shit
20028120_gab,hatespeech,Islam,you are a muzzie right lolzy,you are a,muzzie right lolzy
22387420_gab,hatespeech,African,airforce and a nigger the double whammy,airforce and a,nigger the double whammy
16751878_gab,hatespeech,African,back on gab after another fucking coons age,back on gab after,another fucking coons age
1178499104864964610_twitter,hatespeech,African,you are a hennessy bugatti can this nigger make up,you are a hennessy bugatti,can this nigger make up
25108940_gab,hatespeech,African,does not look like an anglo saxon to me fucking piece of nigger shit he will feel right at home in jail he dindu nuffin,does not look like an anglo saxon to me fucking piece of,nigger shit he will feel right at home in jail he dindu nuffin
6874145_gab,hatespeech,Islam,<user> this is for you lol fgm is a cunning stunt muzzrats pull to close a stunning cunt muslim haikus haikus,<user> this is for you lol fgm is a cunning,stunt muzzrats pull to close a stunning cunt muslim haikus haikus
5865200_gab,hatespeech,Homosexual,fat female scouts queers abound fuck em a new day has dawned,fat female scouts queers abound fuck,em a new day has dawned
15539701_gab,hatespeech,Jewish,the manager picked out the fly and said it was rubber he then said just another kike trick then he threw me out i did not deserve that,the manager picked out the fly and said it was rubber he then said,just another kike trick then he threw me out i did not deserve that
18231131_gab,hatespeech,African,just promise me this even if i am <number> years old stink shit my pants and am dying from ball cancer do not put my brain in a nigger body plz,just promise me this even if i am <number> years old stink shit my pants,and am dying from ball cancer do not put my brain in a nigger body plz
13664763_gab,hatespeech,African,omg i hope she gets charged for felony vandalism for leaving a dead nigger in that hotel room 😳,omg i hope she gets charged for felony vandalism,for leaving a dead nigger in that hotel room 😳
2237880_gab,hatespeech,Islam,notice how the bbc split the immigration figure up so it appears less than <number> maybe they can also split it so it shows number of moslem fanatics came in,notice how the bbc split the immigration figure up so it appears less than <number>,maybe they can also split it so it shows number of moslem fanatics came in
25523547_gab,hatespeech,Jewish,this is why israel rothschild hungary soros must open their borders diversity will be their strength refugees and non white in white homelands are worth more then gold to israel ask any kike,this is why israel rothschild hungary soros must open their borders diversity will be their strength,refugees and non white in white homelands are worth more then gold to israel ask any kike
27816916_gab,hatespeech,Islam,libtards are in denial that there is a mass global migration happening they have learned taqiyya quite well from their moslem overlords,libtards are in denial that there is a mass global migration,happening they have learned taqiyya quite well from their moslem overlords
26226915_gab,hatespeech,Jewish,judge naomi reice buchwald no government official — including the president — is above the law and all government officials are presumed to follow the law as has been declared the judge said did not that same kike rule that sambo was above the law,judge naomi reice buchwald no government official — including the president — is above the law and all government officials are presumed,to follow the law as has been declared the judge said did not that same kike rule that sambo was above the law
21546923_gab,hatespeech,Islam,any urgent questions in parliament today about telford do not be such nervous nelly paki moslem child rape gangs are just part parcel etc etc,any urgent questions in parliament today about telford do not be such,nervous nelly paki moslem child rape gangs are just part parcel etc etc
15674562_gab,hatespeech,African,taylor swift is a whore who went through a lot of men worked with jewish producers dated jew jake gyllenhaal had nigger background dancers and made love songs with shitskins she promotes drinking promiscuity racemixing and she must die for this paid too little attention to realize till now,taylor swift is a whore who went through a lot of men worked with jewish producers dated jew jake gyllenhaal had nigger background dancers,and made love songs with shitskins she promotes drinking promiscuity racemixing and she must die for this paid too little attention to realize till now
