post	target	implied_statement
there are already enough mid easterners in western europe to effectively end the white race in under 30 years time	Mideasterners	Mideasterners don't like white people.
here's a jewish boy who's stalking me . his name is victor . i think he's gay . any idea what to do with gay jews ?	Gay Jews	Gay Jews are aggressive
" the white race you speak of seems hardly worth preserving .  "" foisted on it by "" "" ? ? ? either they wanted it ... 1/2 """	white people	White people are worthless.
the genocide of white america : 1980-2010 #swrm #whitegenocide #us #whiteprideworldwide via	Minorities	Minorities want to wipe out white culture.
black on white murders grow more sadistic in south africa ( video ) via	Black people	Black people are dangerous
diverstiy is a code word for white genocide	Minorities	Minorities are threatening
i  am white aryans and christian viking from finland nokia.happy summer white alaska.america and canada . sieg heil 88 .	White people	White people are superior to other races
me too yet they allow islamic hate preachers in that want to kill us ! !	islamic	islam wants to kill Americans
" also  using a lower case  "" white "" "" might make you look less white surpremacycy . <-- is that even right ? """	White conservatives	White conservatives feel superior.
odd for you to say this since you're a white supremacist .	white people	White people are racist.
oh  i thought ben sasse was the jew who said it was time to wound white people .	Jews	Jews are out to get whites
i guess you white supremacists are just too smart for a regular old white	White conservatives	White conservatives look down on poor whites.
baxter the backstabber sounds like a low iq alcoholic thug  that is too stupid to realize that he's no	Blacks	Blacks are stupid criminals.
" of all the  "" threats "" "" against jewish centers  was a single one connected to a white person ? i only recall jews & blacks """	Jewish people, Black people	Jewish people, Black people are violent towards Jewish people and their centers
please move far away to a small  racist  white island and leave the melting pot alone	white people	White people are racist.
truth about the holocaust religion terrifies its priests : a nicely condensed piece on the fictional ' holocaust ...	Jews	Jews embellish their suffering
they're coming to america for whatever their reasons are  but they're changing the west . whites are becoming unwelcome in their own lands .	Immigrants	Immigrants exclude whites
detroit : the death of white civilisation #swrm #whitegenocide via	white people	White people are dying out.
white americans need to identify and fight #whitegenocide #whitepride #identitarian # via	white people	White people are dying out.
excellent ; just listening to moving speeches from enoch and sacco - those against white identity reaff	Whites	Whites are supremacists
please check out our movie #thegranddeception about the #muslimbrotherhood in usa .	Muslims	Muslims are liars.
what exactly is the meaning ? white people and only white people are called racist all the time for different reasons .	White people	White people are the only ones who can be racist
that's like saying arabs are white . they're semites  hence the prase anti-semite ..	Arabs	Arabs shouldn't be characterized with white people
wont matter  all poc know who mistreated them all these years . once we get majority influence whites will know what its like to be second class citizens	Whites	Whites abuse minorities.
" gob bluth stabbed by white power bill :  "" white power  "" "" "" "" ( but ) i'm white . "" "" """	Minorities	Minorities are substandard people.
head of cambridge university equality group says all white people are racist #swrm #racist #black	white people	White people are racist.
most dangerous cities in america all have heavily non-white populations via	non-white	non-whites are violent
supremacists of any tilt are stupid  black  white or whatever . and yes black supremacists exist  i just have to watch hidden colours to see .	Supremacists	Supremacists are stupid
i am in total agreement with you . the nwo loves not humanity but those human rat people that are loyal to them to divide us	Jews	Jews control the world
: when will you stand up for yourselves white america thugs attack whites #bamo #teaparty #tcot #ucot #ocra ...	non-whites	Non-whites hate white people.
: there is no hate like islamic hate .	Islamic people	Islamic people are haters.
he better throw on a shirt  you know the bruvuhs love them a beefy white woman	black men	Black men love fat white women.
u white people won a battle  but your going to lose the war .	Whites	Whites are weak and feeble
black celebrities who belong to 5 % er anti-white race war cult va	black people	Black people are at war with white people.
white column is meaningless if jews are included . they need their own column .	Jewish people	Jewish people don't belong with white people
the cuckservatives hate trump because trump is actually representing the interests of the white working class americans .	Conservatives	Conservatives are cucks
white  the new black	Minorities	Minorities assert themselves over whites.
that is not true ! hindus are theives they saw a white man show them	Whites	Whites are criminals
what is a white hispanic ?	Hispanics	Hispanics are less than whites
i was so busy paying 20 thousand a year in taxes for illegals  i couldnt afford to send my legal american children even to county college !	Illegals	Illegals siphon off the system
the genocide of white america : 1980-2010	Minorities	Minorities want to wipe out whites
potentially ? it's just another way ( ( ( they ) ) ) are trying to attack whites by polluting learning institutions .	People of color/immigrants	People of color/immigrants want to ruin schools to hurt white people
what abt white slavery and child traffiking ...	Minorities	Minorities are hypocrites.
but an ethnically mexican judge carrying out a tribal agenda in the national council of la raza is true conservatism	Mexicans	Mexicans are self-serving
so answer this : are u jewish ? cause jews  though they have some white blood  are semites and many jews claim to be white when convenient .	Jews	Jews manipulate the truth
by your own metric  whites are far more oppressed than jews	white people	White people are oppressed.
white lives matter event page via	white people	White people are important.
how is he racist ? illegal isnt a race .	Immigrants	Immigrants are subhuman
newly established white student unions see an upsurge in support as more white students find a legitimate voice to express their frustration	Minorities	Minorities want to control everything.
thats economic is out of jew hand  he built german culture not jew  he knew jew control stalin  rosvelt	Jews	Jews are manipulative
are we for white immagration ?	Minorities	Minorities are pushing out whites
long finally got to the point of ( neo marxist ) er jews unrelenting demonization of the white race	Jews	Jews hate white people.
non-white candidate for london mayor : there are too many white men |: via	Whites	Whites are incapable of governing
of course they bc the msm hates and wants to destroy the white race bc we are the greatest race ever . w	Progressives	Progressives are looking to wipe out whites.
they are openly advocating for the murder of white people : #whitegenocide #14words #hitlerwasright #wakeup	Minorities	Minorities support killing whites.
germany : non-white in one generation #swrm via	Refugees	Refugees are displacing white people
obama's fault charge him with accessory 2 all crimes committed by illegal aliens & any by refugees his fault 4 real	Immigrants	Immigrants are criminals
white identity : racial consciousness in the 21st centuryjared taylorsupport and buy through them .	Minorities	Minorities are inferior
' holocaust ' debate / comments / news burden of proof : the fables of russell's teapot and blobel's vanished ...	Jews	Jews promote lies and dishonesty.
mcconnell is pro-jewish ~ he was annoyed by my anti-semitic comments for a time	Jews	Jews are inferior
did you help the homeless of inferior genetics elimination from the gene pool by assisting only those homeless of superior european heritage ?	Minorities	Minorities are inferior races.
and it's not a coincidence the best places to live are majority white	white people	White people live in the best areas.
y'all are probably white supremacists peopl	white people	white people are racist
i believe your are slurring all white people  its offensive . #waronwhites	Minorities	Minorities disparage whites
they need a martyr and a great white defendant .	Whites	White people are greater than others.
you sound like a racist . do you hate white people  support genocide of native whites ?	non-white people	non-white people are oppressors
uhm ... i wonder what percentage of white nationalist / racist knuckle draggers are progressives ? my guess = less than 1 % u 2 care to guess ?	white nationalist	White nationalists are not progressives.
trump is surrounded by a yiddish board of directors . republicans are not for white people !	Jewish people	Jewish people control the Republican party
if marry 4 and produce dozens  i too will be disadvantaged mr .. even to feed themif u have any intellect sir pl voice for ucc	black people	black people have too many kids they don't take care of.
in the past 100 years  white non muskims started world wars on a scale never seen in human history	White people	White people are responsible for the biggest destructions
would a white ethnic state make degeneracy a citizen test for admission ?	white	white people are degenerate
cuck island : eyewitnesses report that armed police ran away from moslem terrorists via	Muslims	Muslims are terrorists.
data aren't racist  the datum - in this case  racist anti-white blacks  are though & the numbers are right .	black people	Black people are racist.
" white people are beautiful . whiteness should be treasured and preserved . i know its scandalous . i don't care about being  "" mainstream "" "" """	white people	White people are more beautiful than other people.
white guy attacked by illegal alienaccused of being racist by a mexican .	illegal aliens	Illegal aliens are violent.
a reminder that jews are not white ! via	Jews	Jews aren't white.
9 year old white boy commits suicide after being tormented for months by racist arabs przez	Arabs	Arabs are racist.
freeloading on white taxpayers . rt : the kenyan ( cont )	white people	White people pay more taxes than others.
can someone tell the black people in chicago to stop killing one another before it becomes detroit	black people	Black people kill each other.
stay white friend . stay white . hopefully your uncle ruckus will come for the holidays !	Minorities	Minorities are subpar races.
i thank and applaud you for highlighting white genocide in sa . please continue - they've no escape and no future . no help .	Black people	Black people are violent
before i read it was white pride i was going to suggest white only sessions	White people	White people are superior to people of color
" most jews i know look  act & think rather  "" white "" "" """	Jews	Jews are not white
> how is white supremacy bad for white ppl ? > white supremacy without non-white inferiority ? > without white supemacy america is amexico	Minorities	Minorities are lower than the white race
an interesting theory but it doesn't change that jews are white	Minorities	Minorities are substandard people
ethnic cleansing of europeans in america increased : nearly half of youth population is non-white via	Minorities	Minorities are trying to wipe out whites
: lets turn our hate into action : action report on the liverpool white man march )	non-white people	non-white people are enemies
muslim who slashed ny cop w / cleaver deemed not a terror threat after ... by via	Muslims	Muslims are violent.
has the white race become too lazy ? our people have largely fallen to the disease of #materialism & comfort ... #news	White people	White people are lazy and diseased
mullets are one of the few things white people created on their own without cultural appropriation	white people	White people steal ideas.
: moderate islam is like being almost pregnant .	Muslims	Muslims are extremists.
all are missing are some white hoods and fire	Whites	Whites use violence to scare blacks.
we must secure the existance of our people and a future for white children ! ! #rt #whitepride	Minorities	Minorities want to decimate white culture.
hey everybody ... i encourage you to follow the only voice of truth these days #nationalsocialism	Foreigners	Foreigners are substandard people
paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents	Jews	Jews are feeble and weak
" these cucks would rather be raped with knives than to be called  "" racist . "" "" they deserve what they get . """	Conservative males	Conservative males are weak-willed
hispanic builder on the mexico wall : ' work is work '	Latinos	Latinos will work for anyone if they're paying
: voted to avoid pointless wars and third world immigration . got pointless wars and more thi	Immigrants	Immigrants are inferior
oh boy  another case of white guilt ! #nonsense #defeattheglobalist	white people	White people shouldn't feel guilty about their race.
because #blacklivesmatter is an anti white hate group .	Blacks	Blacks despise whites.
if he really wants 2 b a chic its just as gross as white women dating blacks . we should preserve the white race .	Blacks	Blacks are inferior to whites
no way . the cucks told me ethnic identity has nothing to do with how judges rule :	Male conservatives	Male conservatives are ignorant and stupid.
"  "" and by this political union between them  holding the white race at the south in complete subjection . "" "" brilliant piece ! love ! """	Progressives	Progressives oppress white southerners
exactly right . your only racist if your white . believe me they hate us more than we hate them !	non-white people	non-white people are hypocrites
these daca activists hate the us why legalize them ? ? ?	Immigrants	Immigrants are illegally in this country and hate Americans
"  "" invaders "" "" ? since when are white people indigenous to north america ? """	Whites	Whites are dishonest in their arguments.
" says the guy following around a bunch of other white dudes screaming  "" muh race ! "" "" this is not """	Whites	Whites are stupid
screw the blind media and cucks join and save you people !	media	The media doesn't know what is going on?
this video shows that sweden has far worse traitors than even our own homegrown secularists in india ...	Secularists	Secularists are betrayers.
he's an identitatarian and a white nationalist  not a white supremacist . what's wrong with fascism ?	non-white people	non-white people are inferior
and islam is rigged to win by persuasion or murder . ban it from the united states asap .	Muslims	Muslims use violence and intimidation to get their way.
my ancestors conquered this land . why would i squander my inheritance ?	White	Whites are the real owners of America
america has problems to be honest but quite frankly i don't think it's the normal white family	Minorities	Minorities degrade America
where do black people perform at the white or asian level ? anywhere ?	Black people	Black people are inferior to white people and asian people
anti-racist equals anti-white billboard erected in arkansas ( video ) va	Minorities	Minorities hate whites
hate always wins support from white conservatives .	White conservatives	White conservatives always support racism and hate
translation : in short ; all of the troubles of the american black  no matter how complicated or insignificant  is the fault of white people . as black people we are faultless and blameless for any and all of our troubles . now ! white people  fix our problems for us .	Black people	Black people are irresponsible
you want black nationalism . there's no diff between the two except that if a white person says they want to focus on white it's racist . but a black person says that it's all good . so riddle me that ? id say both are retarded .	Black people	Black nationalism is same as White nationalism
#altright are the only true right . the gop are marxist diversity enablers . white america deserves better than this !	white people	White people deserve good things.
media blanch when mentions rising crime  but are all too happy to report #blacklivesmatter myths .	Black people	Black people commit crimes
afghanistan : jihad / martyrdom suicide bomber murders eight at funeral : no compassion  no quarter  no mercy  no re ...	Muslims	Muslims are violent.
" you are the one committing the double standard   "" i love jews their genocide sucks  but oh well whites "" "" """	Jewish people	Jewish people want white people to be eliminated
look where your white terrorist brother doing ?	white people	white people are terrorists
what about white americans ? oh wait  that's * white supremacy * to talk about white interests ?	Minorities	Minorities have double standards for whites.
illegal is not a race . true . but they aren't pulling over cars looking for white law breakers .	Illegals	Illegals are criminals
too many blacks in the south to leave . gotta cut it in half . you still can keep half . you're gonna lose them anyway . might as well make deal	Blacks	Blacks are inferior.
liverpool jews very unhappy about upcoming white man march va	Jews	Jews are anti-white
elder  how in world are all of these racist / liberal democrats & racist immigrants  w	Liberals	Liberals are bigots.
gavin married non-white too . you can't get more anti-white  than not choosing a white partner .	non-white people	non-white people are enemies
20 invader centers burned in germany #whitegenocide #merkelmussweg #refugeeswelcome #trump	Immigrants	Immigrants are invasive.
shut it down : as the jewish media loses power  alternative media comes under attack via	Jews	Jews control the media
but it's because jooos . if it was any other ethnicity  you'd be a little less ticked . tell me i'm wrong .	Jews	Jews are inferior
" john friend's blog :  "" homeland security "" "" : a jewish racket """	Jewish people	Jewish people control the government
if lauren is ' new ' southern  then grace before race yields the gift that white could keep on racing .	Whites	Whites are racists.
they have no rights as illegals	Illegal immigrants	Illegal immigrants are second class people.
" rt more anti-white hate propaganda re : wwii - it's not just the germans  all whites guilty for fake  "" holocaust "" "" """	Germans	Germans don't like white people.
good 1 . white people are toast with childish self prescrided spokesment like u at the helm .	Minorities	Minorities want to destroy whites.
as my wife is black  i can say black folk are some of most racist people i know  especially older black women ( they hate me )	Black people	Black people are racist
it's a wonderful race : proud of your white aryan #heritage ! #whitepride #whitepeople #europe #european	Minorities	Minorities are the inferior races
: muslim gangs want 2 kill those who tell truth ? kill those who worship jesus christ ? kill those who draw	Muslims	Muslims are violent and kill Christians
worse than a loaded gun ! ! since guns don't kill people . only planned parenthood and devout muslims kill people	Muslims	Muslims are killers.
amen ! i am so sick of seeing white men with asians while white women sit home .	Asians	Asians are a substandard race.
" both . the angry disaffected white who is losing his love for  "" america "" "" and the normie who notices thing """	White people	White people are having their identity stolen
i'm sorry to say that when indians are attacked in america it is usually b / c white people thought they were muslim .	white people	White people think everyone is Muslims.
not just south africa look at white farmers in zimbabwe yet left ask us to pay for white priveledge	Black people	Black people are oppressive
" #istandfordiversity is a hashtag that's mostly just being used to say  "" i hate white people . "" "" join  serve your people . """	White people	"White people are targeted by ""diversity"" groups"
" rt the #kosher food #scam getting into prisons .  "" demands for kosher food hiking prison costs "" "" #judaism #greed """	Jews	Jews are greedy
wanna be white ? white supremacy supporter ? either way ...	non-white people	non-white people are inferior
jewish harvard professor noel ignatiev wants to abolish the white race via #wr	Jews	Jews are oppressors
jews mock white people all the time so i know they have a sense of humor . they should love this . too funny :)	Jews	Jews don't like white people.
60 % of america is white which also includes jews and terrorists	white people	White people can be terrorists.
why is it only white countries that are deemed to need multiculturalism ? why don't we deserve a homeland too ? white people are an endangered minority why is it ethical or moral to take their living spaces away ?	Minorities	Minorities take from whites
these people actually believe this optic shtick has never been tried ? they think white power punk was the only thing ever done ?	Whites	Whites refuse to face racism.
i see white children living happily in white countries . white countries must return to being white .	Minorities	Minorities are substandard races of people.
" should we rename the white house the  "" white mosque ? "" "" #rt #stopislam #makedclisten #wakeupamerica """	Muslims	Muslims don't belong in the White House.
dreams of eurocide : non-white immigration as a weapon of race-war	Immigrants	Immigrants are enemies
" but yes  there are whites who go along with the jewish agenda . they're commonly referred to as  "" shabbos goys . "" "" """	Jewish people	Jewish people don't like whites.
white genocide in america 1960-2060 #swrm #whitegenocide #us via	Minorities	Minorities are killing the white race
didn't say you were . im not polish but i support polish nationalism . actually arab nationalism for that matter  palestine is being colonized	Jews	Jews want to take over.
maybe you should look at the jewish control of america before calling white	Jews	Jews are power hungry.
" rt : texas cartoon jihadi  "" would never waver from the teachings he picked up in the mosque "" "" """	Muslims	Muslims teach world domination by Muslims.
it appears if you're an officer of the law you should just let people  especially young black men  shoot at you . cuz #racism #shawshooting	young black men	Young black men are violent.
i am a moderate white supremacist the only continents that need to be white are europe & n america  afri	non-white people	non-white people are inferior
if it is so sad why you jews want it for pple of white race ?	Jews	Jews are conspiring
the new crime is cww criticizing while white because obama supporters easily dismiss whites who criticize their messiah as racist !	Blacks	Blacks demonize whites
white supremacy a myth black privilege is real ! via	Blacks	Blacks are given special treatment
anti-white race war slasher music clip teaches black children to hate and massacre whites va	Non-whites	Non-whites are hateful towards whites.
conservatism  inc . unleashed the third world immigration tsunami via	immigrants	immigration is destroying America
yet the white cuckolds are still there paying tons of money on these spoi	Conservative males	Conservative males are stupid and weak.
but this works with white-race-obsessed alt right people too .	White people	White people are racists
only a cesspool for the white folks for whom equality means white genocide .	Minorities	Minorities are less than whites
this is #potus obama's legacy  illegal criminal murderers of americans ...	Blacks	Blacks want whites to be killed
#christmas party for white unity in #southcarolina ! all normal white people and families invited !	white people	White people need to stick together.
nation of islam attendees . racist black police shooters in #dallas attended mosque	black people	Black people are racist.
h / t it's not islamophobia if they really are trying to kill you .	Muslims	Muslims are murdering criminals.
" texas ; fighting foragainst the islamo-fascist dictatorship of  "" no border "" "" """	Muslims	Muslims are controlling
sweden : nordic resistance movement holds major rally | read more : via last thank god ( not allah ) .	Minorities	Minorities are subpar humans
hey & - how come so many racist rednecks like rap music ? #askingforafriend	Southern whites	Southern whites are hypocrites.
another white fourteen year old gang-raped by africans in norway via #wpww	africans	africans are rapists
you say your surprend . your are nothing . blacks will over take you guys and take over america . all talk no action .	blacks	Blacks are taking over America.
omg  you mean white people have rights too ? shocking ...	White people	White people have no rights
personally  i think the white dems are the worst accusers and use race as a wedge issue incessantly .	White Democrats	White Democrats are scheming
needs to call out the dems on their hatred of white people . go there ! it is an anti-white party	Democrats	Democrats hate white people.
you neanderthals can't even agree on nationalism or white supremacy lol	Non-whites	Non-whites hate white race
the white man and woman marches on ! #resistance #14w	Minorities	Minorities are subpar human beings
yes keralites too put alien names and act in this manner - anything indian is not good for them	Keralites	Keralites hate Indians
"  "" : the most oppressed demographic in the #us is the white #workingclass "" "" """	white people	White people are oppressed.
"  "" a nation without borders is not a nation . "" "" - president trump #buildthewall """	Immigrants	Immigrants are inferior.
heimbach doesn't advocate for whites  he works with the jew media to attack white identity . why do you hate white people ?	Jews	Jews don't like white people.
same tired anti-white rhetoric.some of our people have been so brain washed into denigrating their own race .	Minorities	Minorities promote white self-hatred.
white nationalism is the answer .	Minorities	Minorities are a problem.
white identity will not be ( ( ( deconstructed ) ) )	Minorities	Minorities want to tear down white culture
only racists  are the anti-white racists who think the racist slur  racist has any power . it doesn't .	Progressives	Progressives are against the white race.
your demos are changing the face of white genocide  hunter ? glad you found friends .	Minorities	Minorities want to wipe out whites.
" rt  "" this issue  then  is about much more than law : it is about the task facing all people of european ancestry . our task  from america to germany to new zealand  is to be  and re-create  who we are . "" "" - winston taney """	Minorities	Minorities are subpar races compared to whites.
jews know deep down  they're not white	Jews	Jews are not white
: anti-white un boss demands more non-white immigration into britain  despite major opposition	Progressives	Progressives listen to no one
why do i think you are a white racist using a black mans picture to troll .	white people	White people are racist.
#standupwhiteman #14words white revolution is the only solution .	white people	White people should start a revolution.
" you're lying brazenly & you accuse us of  "" hate "" "" ? it is not hate to oppose jihad terror vs . ahmadis """	Muslims	Muslims are terrorists
pl dear fellow indians ... we all must boycott radicalised bollywood jihadi mullahs movies and their ad products	Muslims	Muslims are manipulative
the left will not stop - own them by triggering their anti-white hate - you win	leftists	Leftists hate the white people.
no it is a hate crime except that we acknowledge it and u white wash the evil islam is	Muslims	Muslims are evil
#hannahcornelius - why not come home to #europe  whites will never be welcome in #southafrica	Minorities	Minorities exclude whites
smh you libs are totally disgusting . i doubt any illegal offered to die for you  maybe kill you but not die for you .	Liberals	Liberals are killers.
fix your own countries . don't come leech off of ours . #buildthewall #endimmigration #altright #identitarian	immigrants	Immigrants take all of our things.
mostly white clinics are called pregnancy clinics . in other neighborhoods  clinics are called abortion clinics .	white people	White people have abortions.
know ... what #modi ji has done for hindus so far ! ! . 1 ) more than 30000 ngos are banned which causes christian ...	NGOs	NGOs convert to Christianity
the white genocide continues : white race now a minority in three more uk towns and cities ! read more : by	Minorities	Minorities push out whites
this country was founded by whites for whites read federalist no 2	white people	This country is for white people.
he'd tell you the same today . noticing adverse events involving black people is racist .	Blacks	Blacks keep double standards
not surprised . liberals & islamists biggest threat to india . oh & add indian main stream media to it as well	Islamic people	Islamic people are threatening.
israel prepares for #myjihad islam muslims bjp modi #ramzan tmc mps #femen #tcot iraq isis syria	Muslims	Muslims are violent and want to overthrow Israel
whites don't contribute anything other than labor and kids .	white people	white people are uneducated
it's unfortunate you're uneducated on your own history . keep praying to white jesus maybe he'll enlighten you	White people	White people are misled by religion
satan's islam : all evils	Islamic people	Islamic people are evil.
" otherwise you hear these same black people . that are ment to represent you ... say you are an  "" uncle tom "" ""  race traitor and you know what els """	Blacks	Blacks turn on their own people.
fact : 90 % of all interracial crime in usa is black on white #swrm via	Blacks	Blacks commit most of the crime
nordic is only aryan types ; white and black is none of our business ; only aryans are invited	Aryans	White or Black race doesn't mean Aryan
: mark zuckerburg gives $ 5m to an illegal immigrant college fund  but none to american students ?	Immigrants	Immigrants are leeches
this is what your pathetic good white sentiment will get you . take notes people .	white people	white people are naive
black on white crime unveiled : via	Black people	Black people are criminals
"  "" : "" "" : david duke : the racial murder and rape of white women in america via "" "" """	white women	white women are raped and murdered
loretta lynch where you at on the chicago hate crime ! those thugs attacked a man because he was white and handicapped !	white handicapped people	White handicapped people are attacked.
funny how most of those categories of whiteness are all more civilized and prosperous than the majority of non white civilizations	white people	White people are civilized.
"  "" also jewish people are smarter and have distinct personality traits they tend to share that makes them successful . but that's the only exception "" "" """	Jews	Jews are overly ambitious
you mean white liberal who hated trump and wanted to kill trump supporters	White liberals	White liberals want to kill Trump supporters.
they hate white people alex ! and nobody hates them more than the people who look like the cast of seinfeld ! tell your viewers !	liberals	liberals are racist against white people.
we aint the white male is treated horrible by every race including white women	white people	White people are mistreated.
you hate white people because we're better looking and we're smarter .	white people	White people are better looking and smarter than other races.
hey guys  nz european here . you have my support bringing america back to white america  the way it should've been .	non-white people	non-white people are inferior
" whitearyanpride : they say they are anti-racist  but what they really are is anti-white ! via  "" """	Minorities	Minorities hate whites.
good to know that is 100 percent #altright . #hailloomer !	Minorities	Minorities are less than white people.
cannonized book of 1924 ; might > new one now is filled caliphate & sharia law . people are'nt awake . as	Muslims	Muslims are subversive
i support his being set free  but afterwards  he is to be excommunicated from any white	white people	White people ignore others.
" rt democracy is being governed by a  "" majority "" "" of wealthy jews and their non-white identity group lackeys """	Jews	Jews are pulling the strings of power behind the scenes.
"  "" : jared taylor on the white man's disease : pathological altruism . #race #tpot #tcot "" "" ... wow ! a must read """	white people	white people are naive
theoretically  overturning roe v wade would increase white birthrate without increasing non-white birthrate .	non-white people	non-white people are inferior
the white european race and its age-old struggle :	Minorities	Minorities are taking over the world.
one race one nation and you wont have racial bias	White people	White people should be the only race in America
radical radical radical radical radical radical muslims cheer terror bombings in boston	Muslims	Muslims are extremists
jews want each of those girls to reject white men and use their white wombs to hatch black babies with black men .	Jews	Jews are conniving and racist
" rt blacks and browns looking out for their best interest ? wonderful ! whites do the same ?  "" cause for concern "" "" . """	Minorities	Minorities have a double standard for whites.
the white race must unite against our genocide > the flooding of white nation's with nonwhites has been deliberate >	White people	White people need to unite.
you already do hate yourselves i think ? born here  speak the language  white  yet you cannot compete with an illegal alien ?	aliens	Aliens are better than white people.
black on white murders grow more sadistic in south africa ( video ) via #onthehill	black people	Black people kill white people.
islamic terror will unite nationalists . but in germany ban on national socialism must go .	socialists	pro-socialists
" sez  "" we don't have a jew problem or black problem . we have white problem "" "" no . "" "" we "" "" don """	white people	White people cause more problems than Jews and blacks.
so dear .. congrats .. youre now famous for your love for osama and for battling india to separate kashmir from india	islamist	islam is immoral
" white rhodesians  boers ; we knew about jews  trusted them as  "" white "" "" . we blinded ourselves 2 what jews did . """	Jews	Jews hate whites.
this country needs more white immigrants .	Minority immigrants	Minority immigrants are subpar people.
is white nationalism an #adl honey pot front ?	Jews	Jews are devious
: rankin and madison counties are the recipients of white flight from hinds county .. they are the place	Minorities	Minorities push whites out of society
i support assad . i support white people having babies to increase the population . i hate the current trend of making white men look bad .	non-white people	non-white people want to displace whites
do black people work in fields in central alabama ?	blacks	blacks are treated badly
never i hope it's degrading can't believe the germans they have sunk so low !	Germans	Germans are low class
: kkklankkk white brotherhood unite	Minorities	Minorities are inferior
they are the only racial group that are still cannibals even people just related like many islanders eat people	Islanders	Islanders commit cannibalism
#drought in #california is not caused by #toomanypeople . pr14 : 34 says sin is the problem . #repentnpray for rain	Californians	Californians are being punished by god
when they feel like it  wouldn't care about jewish power if the pro-white jews outnumbered anti-white jews .	Jews	Jews hate whites.
unbelievable ! ! ! barbie sold out to islam .	Muslims	Muslims manipulate whites
: muslim presenter + islamic loving bbc . what else can we expect ? someone needs to challenge	Muslims	Muslims are bad.
discussing jewish power and influence is anti-semitic #withjewswelose	Jews	Jews are devious
ethnic norwegians disappearing as non-white colonization intensifies | read more : via	Norwegians	Norwegians are dying out.
the white man's march is on !	non-white people	non-white people are not valuable
white genocide accelerates in sweden : university removes all portaits of white male professors #swrm	White people	White genocide is happening
new york times paul krugman gloats over demise of white america via	People working for the New York Times	People working for the New York Times hate white people.
could white advocacy exist in a multi-ethnic society ? via	Progressives	Progressives repress whites
strange how no sudden 6million dip in jewish population figures .	Jews	Jews embellish their persecution
" :  "" tribute to rudolf hess "" "" t-shirt from the white resister """	Minorities	Minorities are substandard races
so black pride is fine  but white pride is racist ... riiiiiiight .	white people	White people are racist.
rt : racist black thugs shoot white baby in the face for the fun of it va	black people	Black people are thugs.
" rt this is a ploy . you are correct . they calculate that if they win  they'll stilly do nothing . however  if they lose they will just blame the issues and say  "" you see  people don't want a wall  they won't more 3rd world immigration . "" "" it is the perfect win win situation for them ! """	Immigrants	Immigrants are unwanted
# we must wake up and realize whats going on against the white race . and protect our aryan women from the enemy .	non-white people	non-white people are enemies
america hates you kkkliven bundy gun humpers :) keep making the wrinkly white wing of gop trailer trash whiter & wrinklier	White conservatives	White conservatives are low class
: accused carjacker to witness : i only rob white people	non-white people	non-white people are criminals
obama sitting in that racist pastor jeremiah wright's church for over 20 years is far worse than scalise speaking at one pro white rally !	blacks	blacks are racist against whites
defend the aryan race . they'll learn from they're wide awake nightmare	non-white people	non-white people are a threat
" seven misunderstanders of islam nabbed in israel for plots to kidnap soldiers  murder christians :  "" this is o ... """	Muslims	Muslims are terrorists
it was a white country  the founding fathers made this a white country  and it will be so again !	white people	White people are great.
sweden  once a proud scandinavian country  has fallen to disgrace . americans  hold on to your heritage ! there is hope !	Immigrants	Immigrants degrade society
: knockout king in pittsburgh : another anti-white racist attacks in obama's america ( video ) via ...	Blacks	Blacks oppose whites.
trump's accurate analysis & description of globalists controlling american gov  media & banking has jews uneasy . globalist = jew or jew puppet	Jews	Jews are selfish
are women incapable of taking care of their own bodies ?	Women	Women manipulate laws to their own advantage
beneath the mask of the human rights industry is the final solution of the white race .	Jews	Jews are inferior
it is called weaponized artificial mass migration created to destroy the white race the western world .	Immigrants	Immigrants are bringing down white culture
not true . they'd demand a moratorium to help unemployed americans  but they id with co-ethnics not us as a whole . only whites fall 4 that .	Whites	Whites are stupid.
white power accessories	Minorities	Minorities are inferior
" #altrightmeans  "" white supremacy "" "" is a recognition of white quality  and "" "" white privilege "" "" is simply white achievement . """	Minorities	Minorities are lower than the white race.
what about the betsy ross flag  though ? back-to-basics white nationalism  13 white ethnostate	non-white people	non-white people are inferior
republicans view white people like #danielshaver as white trash . republicans primarily care about satisfying their sadistic #policestate fetish  #massincarceration & jewish money . if you care about equal rights for whites  the #gop is the last place you'll find that .	white people	White people are trashy.
: jw is a truth organization not a hate orginzation . islam is all about hate . #ar	Muslims	Muslims promote hatred
"  "" : the white genocide continues : white race now minority in london via "" "" """	Minorities	Minorities attempt to wipe out the white race.
unlike the yankees who hate the russian people collectively  we have no hate for anyone in amerika  jus	Yankees	Yankees hate Russians.
if you have a strong stomach  go have a look at identity evropa . industrial strength racist toxicity  even some whining about white women being excluded from the women's march in january . mind-boggling .	feminists	Feminists don't care about white people.
" rt i wish they'd just be honest and say  "" white people  we want you to die out & replace you with low-iq slave workers "" "" """	Minorities	Minorities are low IQ
" third worlders are labeled  "" white "" "" to conceal #whitegenocide """	White people	White genocide is real
#ukraine #ukrainian thanks brothers . white pride worldwide . #wpww #14words .	non-white people	non-white people are not valuable
mr . those who fell into the hands of islamic invaders had only two choices - either convert or get killed .	Muslims	Muslims either convert or kill people
